MsID,Year,HandlingEditorSex,ReviewerSex,ReviewerRegion,ReviewerInvited,ReviewerAgreed,ReviewerScore,FinalDecision
1,2004,m,m,Oceania,1,1,1,1
1,2004,m,m,NorthAmerica,1,1,0,1
2,2004,m,m,NorthAmerica,1,1,2,1
2,2004,m,m,0,1,1,2,1
3,2004,m,m,Europe,1,1,2,0
3,2004,m,m,NorthAmerica,1,1,2,0
3,2004,m,m,LatinAmerica,0,0,0,0
3,2004,m,m,Oceania,1,0,0,0
3,2004,m,f,Europe,1,0,0,0
3,2004,m,m,UnitedKingdom,1,0,0,0
3,2004,m,m,NorthAmerica,1,0,0,0
4,2004,m,f,NorthAmerica,1,1,3,1
4,2004,m,m,Oceania,1,1,4,1
4,2004,m,m,NorthAmerica,0,0,0,1
4,2004,m,m,Europe,0,0,0,1
4,2004,m,m,NorthAmerica,0,0,0,1
4,2004,m,m,NorthAmerica,1,0,0,1
4,2004,m,m,NorthAmerica,0,0,0,1
5,2004,m,0,Asia,1,1,3,1
5,2004,m,m,NorthAmerica,1,1,4,1
5,2004,m,m,Oceania,0,0,0,1
5,2004,m,f,UnitedKingdom,0,0,0,1
6,2004,m,m,Europe,1,1,3,0
6,2004,m,f,NorthAmerica,1,1,3,0
6,2004,m,m,NorthAmerica,0,0,0,0
6,2004,m,m,Europe,0,0,0,0
6,2004,m,m,NorthAmerica,0,0,0,0
6,2004,m,m,0,0,0,0,0
7,2004,m,m,Oceania,1,1,2,1
7,2004,m,m,Europe,1,1,3,1
7,2004,m,f,Oceania,0,0,0,1
7,2004,m,m,Europe,0,0,0,1
7,2004,m,m,Europe,1,0,0,1
7,2004,m,f,Europe,1,0,0,1
7,2004,m,m,0,1,0,0,1
8,2004,0,0,0,0,0,0,1
9,2004,m,m,UnitedKingdom,1,1,2,1
9,2004,m,m,UnitedKingdom,1,1,3,1
9,2004,m,m,UnitedKingdom,1,0,0,1
9,2004,m,m,UnitedKingdom,1,0,0,1
10,2004,m,m,NorthAmerica,1,1,3,1
10,2004,m,m,Europe,1,1,4,1
10,2004,m,f,Europe,1,0,0,1
10,2004,m,m,UnitedKingdom,0,0,0,1
10,2004,m,m,UnitedKingdom,0,0,0,1
